X,Y,FID,Bundesland,Name,Baujahr,Gesamtleistung__MW_,Anzahl,Typ__WKA_,Ort,Landkreis,Breitengrad,Längengrad,Projektierer___Betreiber,Bemerkungen
9.99944444400006,54.6315277780001,32,Schleswig-Holstein,Windpark Brodersby[8],1994,"1,8",3,Tacke TW 600 (3×),Brodersby,RD,54.6315277777778,9.99944444444444,Schwansener Energieanlagen,
9.14166666700004,54.6116666670001,33,Schleswig-Holstein,Windpark Norstedt,2003,"6,15",3,REpower MM82(3×),Norstedt,NF,54.6116666666667,9.14166666666667,,
8.90361111100003,54.6111111110001,34,Schleswig-Holstein,Windpark Reußenköge,1999,"137,75",68,NEG Micon NM80/2750 (2×),Reußenköge,NF,54.6111111111111,8.90361111111111,"WP Reußenköge I - V, Dirkshof, Diverse",
8.90361111100003,54.6111111110001,35,Schleswig-Holstein,Windpark Reußenköge,2003,,,Vestas V66-1.75MW(6×),,,54.6111111111111,8.90361111111111,,
8.90361111100003,54.6111111110001,36,Schleswig-Holstein,Windpark Reußenköge,2004,,,Vestas V80-2MW(22×),,,54.6111111111111,8.90361111111111,,
8.90361111100003,54.6111111110001,37,Schleswig-Holstein,Windpark Reußenköge,2008,,,REpower MM70(3×),,,54.6111111111111,8.90361111111111,,
8.90361111100003,54.6111111110001,38,Schleswig-Holstein,Windpark Reußenköge,2009–2010,,,REpower MM82(35×),,,54.6111111111111,8.90361111111111,,
13.286111111,54.594805556,39,Mecklenburg-Vorpommern,Windpark Bohlendorf,1997,"4,65",3,Enercon E-66/15.66(2×),Schwarbe,VR,54.5948055555556,13.2861111111111,WP Bohlendorf,
13.286111111,54.594805556,40,Mecklenburg-Vorpommern,Windpark Bohlendorf,1998,,,Vestas V66-1.65MW(1×),,,54.5948055555556,13.2861111111111,,
11.131,54.52475,41,Schleswig-Holstein,Windkraftanlage Westermarkelsdorf,1996,"0,5",1,Enercon E-40/5.40(1×),Westermarkesldorf,OH,54.52475,11.131,,
8.89611111100004,54.511111111,42,Schleswig-Holstein,Windpark Elisabeth-Sophien-Koog,2009,"13,8",6,Enercon E-70(6×),Elisabeth-Sophien-Koog,NF,54.5111111111111,8.89611111111111,"GEO, Botterkooger Windpark, IB Henning Holst",Repowering2009 (6×Enercon E-70statt 19× versch. Altanlagen)
11.0731111110001,54.5106388890001,43,Schleswig-Holstein,Windpark Fehmarn-Nordwest,2008,"13,8",6,Enercon E-70(6×),Dänschendorf,OH,54.5106388888889,11.0731111111111,Bürger-WP Fehmarn,
11.0567222220001,54.510277778,44,Schleswig-Holstein,Windpark Westfehmarn,2000,"29,7",15,Enercon E-66/15.66(6×),Westermarkelsdorf,OH,54.5102777777778,11.0567222222222,Bürger-WP Fehmarn,Repowering2007 (9×Enercon E-70statt 12× versch. Altanlagen)
11.0567222220001,54.510277778,45,Schleswig-Holstein,Windpark Westfehmarn,2007,,,Enercon E-70(9×),Schlagsdorf,,54.5102777777778,11.0567222222222,,
11.178222222,54.499638889,46,Schleswig-Holstein,Windkraftanlage Johannisberg,1991,"0,25",1,Tacke TW 250 (1×),Johannisberg,OH,54.4996388888889,11.1782222222222,,
11.125138889,54.497944444,47,Schleswig-Holstein,Windkraftanlage Gammendorf,2002,"0,66",1,Vestas V47-660kW(1×),Gammendorf,OH,54.4979444444444,11.1251388888889,,
9.17277777800007,54.4958333330001,48,Schleswig-Holstein,Windpark Wester-Ohrstedt,2004,"6,55",4,REpower MD70(3×),Wester-Ohrstedt,NF,54.4958333333333,9.17277777777778,"e3,wpd",
9.17277777800007,54.4958333330001,49,Schleswig-Holstein,Windpark Wester-Ohrstedt,,,,REpower MM82(1×),,,54.4958333333333,9.17277777777778,,
11.225,54.4841666670001,50,Schleswig-Holstein,Windpark Presen,2006–2007,"39,1",17,Enercon E-70(17×),Presen,OH,54.4841666666667,11.225,Bürger-WP Fehmarn,Repowering2006–2007
11.225,54.4841666670001,51,Schleswig-Holstein,Windpark Presen,,,,,,,54.4841666666667,11.225,,(17×Enercon E-70statt 23×Enercon E-40)
11.1105555560001,54.4838888890001,52,Schleswig-Holstein,Windpark Fehmarn-Mitte[9],2006,"57,5",25,Enercon E-70(25×),Dänschendorf,OH,54.4838888888889,11.1105555555556,"Bürger-WP Fehmarn, IB Henning Holst",Repowering2006 (25×Enercon E-70statt 27× untersch. Altanlagen)
11.1105555560001,54.4838888890001,53,Schleswig-Holstein,Windpark Fehmarn-Mitte[9],,,,,Lemkendorf,,54.4838888888889,11.1105555555556,,
11.1105555560001,54.4838888890001,54,Schleswig-Holstein,Windpark Fehmarn-Mitte[9],,,,,Vadersdorf,,54.4838888888889,11.1105555555556,,
13.302638889,54.4777777780001,55,Mecklenburg-Vorpommern,Windpark Kluis-Silenz,1999,"6,0",10,AN Bonus 600/44 (10×),Kluis,VR,54.4777777777778,13.3026388888889,WP Kluis-Silenz,
13.302638889,54.4777777780001,56,Mecklenburg-Vorpommern,Windpark Kluis-Silenz,,,,,Silenz,,54.4777777777778,13.3026388888889,,
13.319888889,54.47625,57,Mecklenburg-Vorpommern,Windkraftanlage Gagern,1999,"0,3",1,AN Bonus 300/33 (1×),Gagern,VR,54.47625,13.3198888888889,,
10.131666667,54.474444444,58,Schleswig-Holstein,Windkraftanlage Stohl,1998,"0,55",1,Euroturbine ET 550/41 (1×),Stohl,RD,54.4744444444445,10.1316666666667,2M Windtechnik,
11.0719444440001,54.4725,59,Schleswig-Holstein,Windpark Petersdorf,1991,"0,9",3,Enercon-32(3×),Petersdorf (Fehmarn),OH,54.4725,11.0719444444444,,
11.2561944440001,54.4660277780001,60,Schleswig-Holstein,Windpark Klingenberg,2006–2007,"27,6",12,Enercon E-70(12×),Klausdorf,OH,54.4660277777778,11.2561944444444,WP Klingenberg,
11.2372777780001,54.4615,61,Schleswig-Holstein,Windkraftanlage Klausdorf,1991,"0,15",1,WindWorld W2100 (1×),Klausdorf,OH,54.4615,11.2372777777778,,abgebaut 2015
11.063194444,54.4598611110001,62,Schleswig-Holstein,Windkraftanlagen Gollendorf,1991,"0,42",2,Vestas V25-200kW(1×),Gollendorf,OH,54.4598611111111,11.0631944444444,,abgebaut 2015
11.063194444,54.4598611110001,63,Schleswig-Holstein,Windkraftanlagen Gollendorf,1992,,,WindWorld W2500 (1×),,,54.4598611111111,11.0631944444444,,
11.033666667,54.4590277780001,64,Schleswig-Holstein,Windkraftanlage Püttsee,1997,"0,2",1,Vestas V25-200kW(1×),Westermarkesldorf,OH,54.4590277777778,11.0336666666667,,abgebaut 2015
