"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"15000","Aachen-Orsbach","6,0244","50,7983","231.0","https://cdc.dwd.de/rest/metadata/station/html/812300117991"
"5779","Zinnwald-Georgenfeld","13,7516","50,7313","877.0","https://cdc.dwd.de/rest/metadata/station/html/812300119847"
"2485","Kaisersbach-Cronhütte","9,6871","48,9170","489.0","https://cdc.dwd.de/rest/metadata/station/html/812300121703"
"1580","Geisenheim","7,9548","49,9859","111.0","https://cdc.dwd.de/rest/metadata/station/html/812300122983"
"2349","Hornisgrinde","8,2033","48,6136","1138.0","https://cdc.dwd.de/rest/metadata/station/html/812300124839"
"4094","Weingarten, Kr. Ravensburg","9,6206","47,8062","441.0","https://cdc.dwd.de/rest/metadata/station/html/812300126695"
"1759","Greifswalder Oie","13,9102","54,2437","12.0","https://cdc.dwd.de/rest/metadata/station/html/812300132967"
"7351","Feldberg/Mecklenburg","13,4175","53,3176","115.0","https://cdc.dwd.de/rest/metadata/station/html/812300137959"
"1987","Hamburg-Sankt Pauli","9,9662","53,5467","47.0","https://cdc.dwd.de/rest/metadata/station/html/812300139239"
"1550","Garmisch-Partenkirchen","11,0621","47,4830","719.0","https://cdc.dwd.de/rest/metadata/station/html/812300141671"
"4393","Sankt Peter-Ording","8,6031","54,3279","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300142951"
"2856","Langenlipsdorf","13,0878","51,9173","91.0","https://cdc.dwd.de/rest/metadata/station/html/812300144807"
"706","Eschbach","7,6611","47,8858","234.0","https://cdc.dwd.de/rest/metadata/station/html/812300147943"
"691","Bremen","8,7981","53,0451","4.0","https://cdc.dwd.de/rest/metadata/station/html/812300149799"
"1503","Friesoythe-Altenoythe","7,9020","53,0643","6.0","https://cdc.dwd.de/rest/metadata/station/html/812300154791"
"2252","Bertsdorf-Hörnitz","14,7456","50,8992","271.0","https://cdc.dwd.de/rest/metadata/station/html/812300156071"
"2925","Leinefelde","10,3123","51,3932","356.0","https://cdc.dwd.de/rest/metadata/station/html/812300156647"
"3167","Marienberg, Bad","7,9603","50,6621","547.0","https://cdc.dwd.de/rest/metadata/station/html/812300166631"
"1544","Gardelegen","11,3942","52,5129","47.0","https://cdc.dwd.de/rest/metadata/station/html/812300171623"
"599","Bonn-Friesdorf","7,1467","50,7055","62.0","https://cdc.dwd.de/rest/metadata/station/html/812300176039"
"3362","Mühlacker","8,8735","48,9721","243.0","https://cdc.dwd.de/rest/metadata/station/html/812300183463"
"3442","Nauheim, Bad","8,7506","50,3574","149.0","https://cdc.dwd.de/rest/metadata/station/html/812300184743"
"2928","Leipzig-Holzhausen","12,4462","51,3151","138.0","https://cdc.dwd.de/rest/metadata/station/html/812300186023"
"4928","Stuttgart (Schnarrenberg)","9,2000","48,8281","314.0","https://cdc.dwd.de/rest/metadata/station/html/812300188455"
"5397","Weiden","12,1844","49,6662","440.0","https://cdc.dwd.de/rest/metadata/station/html/812300191591"
"7403","Leutkirch-Herlazhofen","10,0325","47,7955","672.0","https://cdc.dwd.de/rest/metadata/station/html/812300193447"
"7369","Feuchtwangen-Heilbronn","10,3661","49,1623","475.0","https://cdc.dwd.de/rest/metadata/station/html/812300196583"
"2564","Kiel-Holtenau","10,1424","54,3776","28.0","https://cdc.dwd.de/rest/metadata/station/html/812300199719"
"427","Berlin Brandenburg","13,5306","52,3807","46.0","https://cdc.dwd.de/rest/metadata/station/html/812300201575"
"2542","Kaufbeuren","10,6007","47,8652","716.0","https://cdc.dwd.de/rest/metadata/station/html/812300203431"
"72","Albstadt-Onstmettingen","9,0001","48,2766","794.0","https://cdc.dwd.de/rest/metadata/station/html/812300204711"
"3379","München-Stadt","11,5429","48,1632","515.0","https://cdc.dwd.de/rest/metadata/station/html/812300208423"
"704","Bremervörde","9,1390","53,4451","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300211559"
"198","Artern","11,2920","51,3744","164.0","https://cdc.dwd.de/rest/metadata/station/html/812300213415"
"2522","Karlsruhe","8,3641","49,0382","112.0","https://cdc.dwd.de/rest/metadata/station/html/812300214695"
"2483","Kahler Asten","8,4891","51,1803","839.0","https://cdc.dwd.de/rest/metadata/station/html/812300226535"
"5100","Trier-Petrisberg","6,6583","49,7479","265.0","https://cdc.dwd.de/rest/metadata/station/html/812300228391"
"4752","Sonneberg-Neufang","11,1828","50,3746","626.0","https://cdc.dwd.de/rest/metadata/station/html/812300230247"
"4445","Wernigerode-Schierke","10,6533","51,7658","609.0","https://cdc.dwd.de/rest/metadata/station/html/812300233383"
"175","Ansbach","10,5751","49,2964","413.0","https://cdc.dwd.de/rest/metadata/station/html/812300234663"
"1920","Hagen-Fley","7,4895","51,4129","100.0","https://cdc.dwd.de/rest/metadata/station/html/812300237799"
"6314","Nossen","13,3003","51,0507","306.0","https://cdc.dwd.de/rest/metadata/station/html/812300238375"
"2712","Konstanz","9,1307","47,6952","428.0","https://cdc.dwd.de/rest/metadata/station/html/812300240231"
"1346","Feldberg/Schwarzwald","8,0038","47,8749","1490.0","https://cdc.dwd.de/rest/metadata/station/html/812300243367"
"5371","Wasserkuppe","9,9427","50,4973","920.0","https://cdc.dwd.de/rest/metadata/station/html/812300246503"
"232","Augsburg","10,9417","48,4253","462.0","https://cdc.dwd.de/rest/metadata/station/html/812300255207"
"1666","Glücksburg-Meierwik","9,5058","54,8273","12.0","https://cdc.dwd.de/rest/metadata/station/html/812300256487"
"2932","Leipzig/Halle","12,2396","51,4347","131.0","https://cdc.dwd.de/rest/metadata/station/html/812300257767"
"2905","Lechfeld","10,8507","48,1849","550.0","https://cdc.dwd.de/rest/metadata/station/html/812300265191"
"3231","Meiningen","10,3771","50,5611","450.0","https://cdc.dwd.de/rest/metadata/station/html/812300275175"
"5640","Wittmundhafen","7,6672","53,5503","10.0","https://cdc.dwd.de/rest/metadata/station/html/812300278311"
"1219","Emden-Nesserland","7,1909","53,3449","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300279591"
"5078","Travemünde","10,8892","53,9619","2.0","https://cdc.dwd.de/rest/metadata/station/html/812300282023"
"1078","Düsseldorf","6,7686","51,2960","37.0","https://cdc.dwd.de/rest/metadata/station/html/812300283303"
"3660","Nürburg-Barweiler","6,8697","50,3602","485.0","https://cdc.dwd.de/rest/metadata/station/html/812300285159"
"5120","Tübingen","9,0515","48,5198","370.0","https://cdc.dwd.de/rest/metadata/station/html/812300286439"
"2044","Harzgerode","11,1366","51,6520","404.0","https://cdc.dwd.de/rest/metadata/station/html/812300290151"
"1468","Freudenstadt","8,4090","48,4538","797.0","https://cdc.dwd.de/rest/metadata/station/html/812300296999"
"1297","Eschwege","10,0138","51,2041","156.0","https://cdc.dwd.de/rest/metadata/station/html/812300298279"
"4280","Roth","11,1035","49,2162","386.0","https://cdc.dwd.de/rest/metadata/station/html/812300305127"
"591","Boizenburg","10,6878","53,3911","45.0","https://cdc.dwd.de/rest/metadata/station/html/812300308263"
"5538","Wielenbach (Demollstr.)","11,1576","47,8827","551.0","https://cdc.dwd.de/rest/metadata/station/html/812300310119"
"5349","Waren (Müritz)","12,6654","53,5196","73.0","https://cdc.dwd.de/rest/metadata/station/html/812300313255"
"7395","Gottfrieding","12,5388","48,6595","350.0","https://cdc.dwd.de/rest/metadata/station/html/812300315111"
"3032","List auf Sylt","8,4125","55,0110","25.0","https://cdc.dwd.de/rest/metadata/station/html/812300318247"
"1869","Grünow","13,9339","53,3154","56.0","https://cdc.dwd.de/rest/metadata/station/html/812300320103"
"3300","Mittel-Gründau","9,1064","50,2285","155.0","https://cdc.dwd.de/rest/metadata/station/html/812300324519"
"891","Cuxhaven","8,7058","53,8713","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300330087"
"2385","Idar-Oberstein","7,3263","49,6927","376.0","https://cdc.dwd.de/rest/metadata/station/html/812300341927"
"2565","Kiel-Kronshagen","10,0929","54,3378","17.0","https://cdc.dwd.de/rest/metadata/station/html/812300344487"
"2667","Köln-Bonn","7,1575","50,8646","92.0","https://cdc.dwd.de/rest/metadata/station/html/812300345063"
"5871","Hahn","7,2645","49,9463","497.0","https://cdc.dwd.de/rest/metadata/station/html/812300346919"
"5490","Wernigerode","10,7686","51,8454","233.0","https://cdc.dwd.de/rest/metadata/station/html/812300351911"
"1975","Hamburg-Fuhlsbüttel","9,9881","53,6332","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300355047"
"2338","Hopsten (Flugplatz)","7,5500","52,3333","39.0","https://cdc.dwd.de/rest/metadata/station/html/812300356327"
"7393","Hoyerswerda","14,2533","51,4492","116.0","https://cdc.dwd.de/rest/metadata/station/html/812300356903"
"2886","Laupheim","9,9097","48,2175","539.0","https://cdc.dwd.de/rest/metadata/station/html/812300358759"
"7341","Offenbach-Wetterpark","8,7862","50,0900","119.0","https://cdc.dwd.de/rest/metadata/station/html/812300365031"
"4024","Putbus","13,4771","54,3643","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300370023"
"856","Chieming","12,5404","47,8843","551.0","https://cdc.dwd.de/rest/metadata/station/html/812300373735"
"2303","Hohn","9,5385","54,3162","10.0","https://cdc.dwd.de/rest/metadata/station/html/812300375015"
"430","Berlin-Tegel","13,3088","52,5644","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300376871"
"2290","Hohenpeißenberg","11,0108","47,8009","977.0","https://cdc.dwd.de/rest/metadata/station/html/812300378727"
"342","Belm","8,1694","52,3170","103.0","https://cdc.dwd.de/rest/metadata/station/html/812300386855"
"642","Brake","8,4969","53,3517","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300393127"
"4464","Schleiz","11,8041","50,5679","501.0","https://cdc.dwd.de/rest/metadata/station/html/812300393703"
"3518","Neuhausen ob Eck","8,9101","47,9760","793.0","https://cdc.dwd.de/rest/metadata/station/html/812300394983"
"2166","Herrnhut","14,7500","51,0167","344.0","https://cdc.dwd.de/rest/metadata/station/html/812300396263"
"5839","Emden","7,2287","53,3881","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300396839"
"1993","Hameln","9,3896","52,0848","68.0","https://cdc.dwd.de/rest/metadata/station/html/812300398119"
"2985","Lichtenhain-Mittelndorf","14,2094","50,9383","321.0","https://cdc.dwd.de/rest/metadata/station/html/812300400551"
"1379","Flensburg (Schäferhaus)","9,3752","54,7737","41.0","https://cdc.dwd.de/rest/metadata/station/html/812300401255"
"3791","Oldenburg","8,1824","53,1763","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300403111"
"3946","Plauen","12,1300","50,4818","387.0","https://cdc.dwd.de/rest/metadata/station/html/812300413671"
"3404","Münster","7,5906","51,9494","62.0","https://cdc.dwd.de/rest/metadata/station/html/812300418087"
"1757","Greifswald","13,4056","54,0967","2.0","https://cdc.dwd.de/rest/metadata/station/html/812300426791"
"5856","Fürstenzell","13,3532","48,5451","476.0","https://cdc.dwd.de/rest/metadata/station/html/812300428647"
"4039","Quickborn","9,8776","53,7331","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300436775"
"2794","Kyritz","12,4093","52,9362","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300438631"
"7389","Heckelberg","13,8427","52,7461","82.0","https://cdc.dwd.de/rest/metadata/station/html/812300443623"
"3668","Nürnberg","11,0549","49,5030","314.0","https://cdc.dwd.de/rest/metadata/station/html/812300445479"
"1490","Friedrichshafen","9,4795","47,6454","394.0","https://cdc.dwd.de/rest/metadata/station/html/812300446759"
"1684","Görlitz","14,9506","51,1621","238.0","https://cdc.dwd.de/rest/metadata/station/html/812300449895"
"7368","Eisenach","10,3621","51,0007","312.0","https://cdc.dwd.de/rest/metadata/station/html/812300455463"
"4933","Stuttgart-Hohenheim","9,2147","48,7091","401.0","https://cdc.dwd.de/rest/metadata/station/html/812300461735"
"3028","Lippspringe, Bad","8,8388","51,7854","157.0","https://cdc.dwd.de/rest/metadata/station/html/812300463591"
"330","Oberzent-Beerfelden","8,9673","49,5617","455.0","https://cdc.dwd.de/rest/metadata/station/html/812300473575"
"2494","Kalkar","6,2688","51,7329","31.0","https://cdc.dwd.de/rest/metadata/station/html/812300474855"
"5467","Wendelstein","12,0119","47,7035","1832.0","https://cdc.dwd.de/rest/metadata/station/html/812300475431"
"3287","Michelstadt-Vielbrunn","9,0997","49,7177","453.0","https://cdc.dwd.de/rest/metadata/station/html/812300478567"
"4887","Stötten","9,8648","48,6656","734.0","https://cdc.dwd.de/rest/metadata/station/html/812300482279"
"15207","Schauenburg-Elgershausen","9,3590","51,2835","317.0","https://cdc.dwd.de/rest/metadata/station/html/812300483559"
"5009","Teterow","12,5574","53,7611","33.0","https://cdc.dwd.de/rest/metadata/station/html/812300488551"
