loc
"(52.677, 12.008)"
"(51.4, 8.067)"
"(49.283, 12.817)"
"(51.096, 14.0)"
"(50.58, 13.12)"
"(50.833, 10.955)"
"(49.983, 9.967)"
"(48.567, 12.817)"
"(51.383, 9.017)"
"(49.2, 13.0)"
"(51.365, 11.287)"
"(53.383, 10.483)"
"(50.383, 7.75)"
"(50.067, 12.183)"
"(51.53, 13.127)"
"(50.083, 6.283)"
"(50.667, 7.433)"
"(48.683, 10.817)"
"(49.0, 12.633)"
"(49.967, 9.15)"
"(48.2, 12.35)"
"(47.783, 12.317)"
"(51.783, 7.617)"
"(54.15, 10.35)"
"(51.759, 11.451)"
"(48.167, 11.717)"
"(52.767, 9.0)"
"(53.3, 9.983)"
"(48.967, 9.4)"
"(48.9, 9.133)"
"(49.433, 9.683)"
"(50.583, 8.467)"
"(48.0, 12.0)"
"(51.133, 7.9)"
"(48.5, 11.767)"
"(48.133, 9.7)"
"(48.9, 12.483)"
"(51.917, 11.594)"
"(48.95, 8.233)"
"(48.567, 11.75)"
"(49.55, 10.067)"
"(51.498, 12.842)"
"(50.587, 12.717)"
"(48.933, 9.5)"
"(48.8, 13.1)"
"(50.518, 12.402)"
"(50.688, 12.913)"
"(49.7, 11.633)"
"(52.233, 9.233)"
"(48.867, 12.283)"
"(49.883, 11.233)"
"(47.783, 7.6)"
"(48.367, 10.9)"
"(51.917, 8.75)"
"(51.138, 13.904)"
"(50.814, 13.101)"
"(52.4, 9.283)"
"(54.083, 9.783)"
"(47.95, 9.633)"
"(50.702, 11.899)"
"(53.533, 10.317)"
"(50.183, 9.583)"
"(49.25, 10.417)"
"(49.583, 10.833)"
"(53.467, 7.483)"
"(52.092, 11.112)"
"(48.733, 13.2)"
"(53.35, 8.767)"
"(47.967, 11.783)"
"(49.633, 6.55)"
"(48.4, 10.767)"
"(53.767, 9.05)"
"(49.467, 10.85)"
"(50.683, 12.493)"
"(51.75, 13.958)"
"(51.904, 11.768)"
"(52.417, 10.617)"
"(51.417, 9.4)"
"(52.399, 11.299)"
"(48.733, 8.733)"
"(50.3, 8.267)"
"(51.057, 11.71)"
"(52.817, 8.117)"
"(52.349, 13.0)"
"(53.757, 10.935)"
"(49.5, 8.033)"
"(51.55, 7.317)"
"(52.633, 10.083)"
"(49.217, 12.667)"
"(49.2, 12.75)"
"(50.83, 12.917)"
"(47.9, 12.533)"
"(47.867, 12.4)"
"(49.267, 7.683)"
"(50.741, 13.489)"
"(50.938, 12.888)"
"(51.8, 10.333)"
"(49.05, 9.033)"
"(52.933, 10.95)"
"(52.85, 8.05)"
"(50.267, 10.967)"
"(50.15, 7.167)"
"(51.933, 7.167)"
"(52.321, 11.608)"
"(51.138, 12.798)"
"(49.783, 9.333)"
"(49.35, 10.417)"
"(50.911, 13.493)"
"(50.95, 13.377)"
"(49.25, 7.433)"
"(52.117, 9.55)"
"(51.05, 9.867)"
"(51.089, 13.632)"
"(51.126, 13.577)"
"(51.888, 12.442)"
"(50.906, 13.971)"
"(51.766, 14.335)"
"(49.133, 10.067)"
"(50.514, 12.993)"
"(50.782, 10.791)"
"(49.467, 10.033)"
"(52.25, 10.65)"
"(49.85, 11.633)"
"(51.055, 10.243)"
"(50.817, 12.388)"
"(51.741, 13.761)"
"(53.58, 11.646)"
"(50.757, 12.493)"
"(51.08, 14.471)"
"(51.241, 14.25)"
"(50.521, 12.949)"
"(50.557, 13.007)"
"(51.099, 14.529)"
"(53.867, 8.7)"
"(50.709, 13.5)"
"(50.85, 8.783)"
"(50.733, 7.967)"
"(48.267, 11.433)"
"(49.65, 10.7)"
"(47.717, 8.1)"
"(54.733, 8.717)"
"(50.383, 6.55)"
"(51.365, 13.0)"
"(53.2, 10.75)"
"(52.326, 13.443)"
"(51.872, 13.428)"
"(54.217, 11.083)"
"(49.15, 7.783)"
"(47.717, 9.267)"
"(52.539, 13.083)"
"(49.867, 9.333)"
"(54.583, 9.983)"
"(52.433, 10.917)"
"(53.1, 11.1)"
"(49.433, 8.317)"
"(53.897, 12.859)"
"(49.867, 8.65)"
"(48.383, 11.05)"
"(51.8, 9.683)"
"(53.5, 10.383)"
"(53.911, 10.981)"
"(51.65, 7.35)"
"(50.55, 7.3)"
"(48.083, 8.55)"
"(50.2, 6.833)"
"(50.333, 7.767)"
"(50.867, 8.55)"
"(48.65, 8.817)"
"(52.037, 10.888)"
"(52.7, 10.5)"
"(51.867, 9.6)"
"(48.833, 12.967)"
"(47.783, 9.4)"
"(48.6, 9.717)"
"(49.4, 8.183)"
"(48.183, 8.783)"
"(49.217, 11.533)"
"(48.867, 10.567)"
"(53.533, 9.45)"
"(48.25, 10.333)"
"(48.067, 8.6)"
"(48.717, 9.383)"
"(51.767, 8.567)"
"(51.525, 12.337)"
"(49.233, 7.483)"
"(51.95, 9.8)"
"(53.05, 8.633)"
"(51.149, 14.254)"
"(53.908, 13.047)"
"(48.7, 9.317)"
"(48.933, 11.467)"
"(48.117, 8.733)"
"(47.917, 10.85)"
"(52.15, 10.617)"
"(49.15, 10.417)"
"(48.067, 7.883)"
"(51.874, 10.907)"
"(50.718, 10.123)"
"(50.533, 7.05)"
"(50.467, 7.783)"
"(52.967, 7.283)"
"(52.1, 9.817)"
"(51.835, 12.236)"
"(53.217, 7.683)"
"(51.933, 8.883)"
"(49.8, 10.167)"
"(48.617, 9.1)"
"(49.167, 8.417)"
"(47.617, 8.483)"
"(48.533, 9.35)"
"(48.117, 10.117)"
"(48.617, 9.45)"
"(52.167, 10.667)"
"(51.112, 12.072)"
"(49.033, 11.9)"
"(53.2, 10.433)"
"(50.633, 13.493)"
"(50.615, 13.467)"
"(51.117, 12.435)"
"(50.317, 7.467)"
"(49.9, 8.833)"
"(48.35, 10.783)"
"(52.1, 9.933)"
"(49.283, 8.733)"
"(51.367, 8.8)"
"(51.483, 9.017)"
"(49.833, 8.35)"
"(52.417, 8.733)"
"(52.6, 8.367)"
"(51.202, 13.445)"
"(50.55, 7.667)"
"(51.433, 12.043)"
"(49.6, 10.633)"
"(47.95, 11.1)"
"(48.217, 10.067)"
"(49.4, 10.683)"
"(48.5, 12.933)"
"(49.55, 10.533)"
"(49.033, 11.583)"
"(48.2, 8.65)"
"(47.817, 10.283)"
"(47.85, 11.583)"
"(50.017, 8.783)"
"(50.833, 8.317)"
"(50.367, 8.017)"
"(50.733, 8.283)"
"(48.583, 10.5)"
"(49.35, 6.733)"
"(51.979, 10.974)"
"(51.317, 10.319)"
"(48.633, 12.5)"
"(49.9, 10.383)"
"(49.067, 10.317)"
"(48.35, 10.6)"
"(52.667, 8.117)"
"(51.567, 6.733)"
"(50.55, 9.8)"
"(50.892, 13.674)"
"(48.0, 10.5)"
"(49.567, 8.25)"
"(48.7, 10.367)"
"(52.117, 8.2)"
"(51.766, 14.39)"
"(51.837, 11.201)"
"(50.083, 10.217)"
"(50.954, 14.897)"
"(49.75, 8.233)"
"(49.05, 10.783)"
"(51.039, 13.993)"
"(50.759, 13.014)"
"(48.833, 9.067)"
"(48.8, 8.5)"
"(51.628, 13.563)"
"(51.154, 14.401)"
"(47.617, 8.167)"
"(50.959, 13.862)"
"(53.283, 7.233)"
"(53.533, 9.55)"
"(48.867, 11.067)"
"(49.25, 10.283)"
"(50.15, 7.4)"
"(51.642, 12.886)"
"(47.95, 8.5)"
"(49.033, 12.217)"
"(48.717, 10.783)"
"(49.967, 10.417)"
"(49.267, 7.65)"
"(48.683, 9.817)"
"(50.67, 12.841)"
"(48.267, 12.15)"
"(50.936, 13.565)"
"(49.783, 9.383)"
"(51.1, 6.833)"
"(49.6, 11.117)"
"(50.5, 8.017)"
"(48.35, 8.517)"
"(48.467, 9.95)"
"(48.467, 8.5)"
"(53.65, 7.433)"
"(53.683, 7.483)"
"(51.667, 6.967)"
"(51.517, 7.467)"
"(53.683, 8.567)"
"(49.45, 8.667)"
"(48.233, 8.8)"
"(49.1, 13.017)"
"(53.417, 10.267)"
"(52.683, 9.217)"
"(53.617, 8.75)"
"(51.5, 9.767)"
"(50.677, 13.022)"
"(52.65, 8.417)"
"(51.656, 14.231)"
"(50.017, 8.7)"
